0
8 14 16
0 1 597 11
0 2 598 11
1 3 0 0
1 4 4 0
1 1 597 0
2 5 0 0
2 6 19 0
2 7 92 0
2 8 94 0
2 2 598 0
3 3 0 0
3 4 4 0
4 5 0 0
4 4 4 0
4 6 19 0
4 7 92 0
4 8 94 0
5 5 0 0
5 6 19 0
5 7 92 0
5 8 94 0
6 9 0 0
6 6 19 0
6 10 530 0
6 11 557 0
7 12 0 0
7 7 92 0
7 13 490 0
7 14 493 0
8 8 94 0
9 9 0 0
9 10 530 0
9 11 557 0
10 12 0 0
10 10 530 0
10 13 490 0
10 14 493 0
11 15 0 0
11 11 557 0
11 16 141 0
12 12 0 0
12 13 490 0
12 14 493 0
13 15 0 0
13 13 490 0
13 16 141 0
14 14 493 0
15 15 0 0
15 16 141 0
16 16 141 0
